timestamp,household_id,sensor_id,is_synthetic_anomaly_day
2025-01-01T00:07:00+00:00,H01,H01_S01,False
2025-01-01T00:14:00+00:00,H01,H01_S01,False
2025-01-01T00:20:00+00:00,H01,H01_S01,False
2025-01-01T00:25:00+00:00,H01,H01_S01,False
2025-01-01T00:31:00+00:00,H01,H01_S01,False
2025-01-01T00:31:00+00:00,H01,H01_S01,False
2025-01-01T00:45:00+00:00,H01,H01_S01,False
2025-01-01T00:53:00+00:00,H01,H01_S01,False
2025-01-01T01:04:00+00:00,H01,H01_S01,False
2025-01-01T01:04:00+00:00,H01,H01_S01,False
2025-01-01T01:37:00+00:00,H01,H01_S01,False
2025-01-01T02:10:00+00:00,H01,H01_S01,False
2025-01-01T02:16:00+00:00,H01,H01_S01,False
2025-01-01T02:35:00+00:00,H01,H01_S01,False
2025-01-01T02:36:00+00:00,H01,H01_S01,False
2025-01-01T02:47:00+00:00,H01,H01_S01,False
2025-01-01T02:51:00+00:00,H01,H01_S01,False
2025-01-01T02:56:00+00:00,H01,H01_S01,False
2025-01-01T03:09:00+00:00,H01,H01_S01,False
2025-01-01T03:21:00+00:00,H01,H01_S01,False
2025-01-01T03:23:00+00:00,H01,H01_S01,False
2025-01-01T03:27:00+00:00,H01,H01_S01,False
2025-01-01T03:38:00+00:00,H01,H01_S01,False
2025-01-01T03:40:00+00:00,H01,H01_S01,False
2025-01-01T03:51:00+00:00,H01,H01_S01,False
2025-01-01T03:57:00+00:00,H01,H01_S01,False
2025-01-01T04:10:00+00:00,H01,H01_S01,False
2025-01-01T04:18:00+00:00,H01,H01_S01,False
2025-01-01T04:20:00+00:00,H01,H01_S01,False
2025-01-01T04:42:00+00:00,H01,H01_S01,False
2025-01-01T04:51:00+00:00,H01,H01_S01,False
2025-01-01T05:21:00+00:00,H01,H01_S01,False
2025-01-01T05:30:00+00:00,H01,H01_S01,False
2025-01-01T05:31:00+00:00,H01,H01_S01,False
2025-01-01T05:40:00+00:00,H01,H01_S01,False
2025-01-01T05:46:00+00:00,H01,H01_S01,False
2025-01-01T05:51:00+00:00,H01,H01_S01,False
2025-01-01T06:08:00+00:00,H01,H01_S01,False
2025-01-01T06:17:00+00:00,H01,H01_S01,False
2025-01-01T06:24:00+00:00,H01,H01_S01,False
2025-01-01T06:37:00+00:00,H01,H01_S01,False
2025-01-01T06:42:00+00:00,H01,H01_S01,False
2025-01-01T06:43:00+00:00,H01,H01_S01,False
2025-01-01T06:44:00+00:00,H01,H01_S01,False
2025-01-01T06:49:00+00:00,H01,H01_S01,False
2025-01-01T06:58:00+00:00,H01,H01_S01,False
2025-01-01T07:10:00+00:00,H01,H01_S01,False
2025-01-01T07:15:00+00:00,H01,H01_S01,False
2025-01-01T07:26:00+00:00,H01,H01_S01,False
2025-01-01T07:26:00+00:00,H01,H01_S01,False
2025-01-01T07:34:00+00:00,H01,H01_S01,False
2025-01-01T07:34:00+00:00,H01,H01_S01,False
2025-01-01T07:36:00+00:00,H01,H01_S01,False
2025-01-01T07:41:00+00:00,H01,H01_S01,False
2025-01-01T07:41:00+00:00,H01,H01_S01,False
2025-01-01T07:57:00+00:00,H01,H01_S01,False
2025-01-01T08:03:00+00:00,H01,H01_S01,False
2025-01-01T08:43:00+00:00,H01,H01_S01,False
2025-01-01T08:48:00+00:00,H01,H01_S01,False
2025-01-01T08:54:00+00:00,H01,H01_S01,False
2025-01-01T08:58:00+00:00,H01,H01_S01,False
2025-01-01T09:07:00+00:00,H01,H01_S01,False
2025-01-01T09:50:00+00:00,H01,H01_S01,False
2025-01-01T10:24:00+00:00,H01,H01_S01,False
2025-01-01T10:26:00+00:00,H01,H01_S01,False
2025-01-01T10:32:00+00:00,H01,H01_S01,False
2025-01-01T10:35:00+00:00,H01,H01_S01,False
2025-01-01T11:02:00+00:00,H01,H01_S01,False
2025-01-01T11:16:00+00:00,H01,H01_S01,False
2025-01-01T11:21:00+00:00,H01,H01_S01,False
2025-01-01T11:40:00+00:00,H01,H01_S01,False
2025-01-01T11:46:00+00:00,H01,H01_S01,False
2025-01-01T11:59:00+00:00,H01,H01_S01,False
2025-01-01T12:01:00+00:00,H01,H01_S01,False
2025-01-01T12:21:00+00:00,H01,H01_S01,False
2025-01-01T12:27:00+00:00,H01,H01_S01,False
2025-01-01T12:29:00+00:00,H01,H01_S01,False
2025-01-01T12:47:00+00:00,H01,H01_S01,False
2025-01-01T13:00:00+00:00,H01,H01_S01,False
2025-01-01T13:01:00+00:00,H01,H01_S01,False
